Date,Citywide % 7-day,NYU Aggregate Neighborhood % 7-day,Manhattan % 7-day,NYU % 7-day
1/5/2021,9.03,3.11,4.83,0.33
1/6/2021,9.01,3.10,4.79,0.55
1/7/2021,8.98,3.12,4.77,0.77
1/8/2021,8.91,3.14,4.75,1.15
1/9/2021,8.83,3.15,4.73,1.24
1/10/2021,8.73,3.19,4.69,1.36
1/11/2021,8.63,3.22,4.65,1.32
1/12/2021,8.50,3.23,4.59,1.35
1/13/2021,8.40,3.24,4.56,1.42
1/14/2021,8.29,3.27,4.52,1.76
1/15/2021,8.18,3.27,4.46,2.14
1/16/2021,0.00,0.00,0.00,2.59
1/17/2021,0.00,0.00,0.00,2.39
1/18/2021,0.00,0.00,0.00,0.00
1/19/2021,0.00,0.00,0.00,0.00
