Date,Positives,Tests,1-Day %,7-Day %,14-Day %,7-day Positives Average,baseline
1/12/21,76,460,16.52%,13.90%,10.51%,81.00,0
1/13/21,81,466,17.38%,14.33%,10.57%,84.14,0
1/14/21,80,472,16.95%,14.90%,10.83%,86.57,0
1/15/21,122,783,15.58%,14.96%,10.47%,90.14,0
1/16/21,108,925,11.68%,14.30%,14.23%,92.71,0
1/17/21,115,526,21.86%,15.13%,14.75%,94.71,0
1/18/21,89,603,14.76%,15.84%,14.87%,95.86,0
1/19/21,77,503,15.31%,15.71%,14.83%,96.00,0
1/20/21,60,437,13.73%,15.32%,14.83%,93.00,0
1/21/21,91,488,18.65%,15.52%,15.22%,94.57,0
